Age group,Term,Freq
45 - 54,"""cream"" (25.33%)",-0.822132669
55 - 65,"""cream"" (25.33%)",-1.403209959
16 - 24,"""cucumber"" (2.07%)",1.115574759
25 - 34,"""cucumber"" (2.07%)",0.854482794
35 - 44,"""cucumber"" (2.07%)",-0.514272052
45 - 54,"""cucumber"" (2.07%)",-0.443065152
55 - 65,"""cucumber"" (2.07%)",-0.783275894
16 - 24,"""cystic acne"" (7.18%)",1.355081009
25 - 34,"""cystic acne"" (7.18%)",0.768658021
35 - 44,"""cystic acne"" (7.18%)",-0.280361588
45 - 54,"""cystic acne"" (7.18%)",-0.693894931
55 - 65,"""cystic acne"" (7.18%)",-0.999956331
16 - 24,"""dark circles"" (16.10%)",1.326440762
25 - 34,"""dark circles"" (16.10%)",0.787331797
35 - 44,"""dark circles"" (16.10%)",0.005171309
45 - 54,"""dark circles"" (16.10%)",-0.797674415
55 - 65,"""dark circles"" (16.10%)",-1.321269453
16 - 24,"""dark spots"" (13.35%)",1.00767576
25 - 34,"""dark spots"" (13.35%)",0.604998312
35 - 44,"""dark spots"" (13.35%)",-0.155178138
45 - 54,"""dark spots"" (13.35%)",-0.408570289
55 - 65,"""dark spots"" (13.35%)",-0.972318716
16 - 24,"""day and night"" (6.76%)",0.578961192
25 - 34,"""day and night"" (6.76%)",0.82631139
35 - 44,"""day and night"" (6.76%)",0.104476918
45 - 54,"""day and night"" (6.76%)",-1.150111826
55 - 65,"""day and night"" (6.76%)",-1.423624064
16 - 24,"""daytime"" (6.43%)",0.463815741
25 - 34,"""daytime"" (6.43%)",0.56607433
35 - 44,"""daytime"" (6.43%)",0.368861337
45 - 54,"""daytime"" (6.43%)",-0.989717054
55 - 65,"""daytime"" (6.43%)",-0.500336666
16 - 24,"""dermatologist recommended"" (23.79%)",-1.397522123
25 - 34,"""dermatologist recommended"" (23.79%)",-0.745199443
35 - 44,"""dermatologist recommended"" (23.79%)",0.375877725
45 - 54,"""dermatologist recommended"" (23.79%)",0.810759511
