Age group,Term,More Phrase Usage,Category
25 - 34,"""doctor recommended"" (3.84%)",0.226778684,Product Recommendation
35 - 44,"""doctor recommended"" (3.84%)",-0.289224988,Product Recommendation
45 - 54,"""doctor recommended"" (3.84%)",-0.345097997,Product Recommendation
55 - 65,"""doctor recommended"" (3.84%)",0.831521841,Product Recommendation
16 - 24,"""does wonders"" (2.36%)",0.22627417,Product Performance
25 - 34,"""does wonders"" (2.36%)",0.028284271,Product Performance
35 - 44,"""does wonders"" (2.36%)",0.38890873,Product Performance
45 - 54,"""does wonders"" (2.36%)",-0.084852814,Product Performance
55 - 65,"""does wonders"" (2.36%)",-0.820243866,Product Performance
16 - 24,"""doesn't burn"" (2.55%)",1.240157146,Product Performance
25 - 34,"""doesn't burn"" (2.55%)",0.014364564,Product Performance
35 - 44,"""doesn't burn"" (2.55%)",-0.601611607,Product Performance
45 - 54,"""doesn't burn"" (2.55%)",-0.416818756,Product Performance
55 - 65,"""doesn't burn"" (2.55%)",-0.312102807,Product Performance
16 - 24,"""doesn't dry out"" (3.58%)",0.600596007,Product Performance
25 - 34,"""doesn't dry out"" (3.58%)",0.761318882,Product Performance
35 - 44,"""doesn't dry out"" (3.58%)",0.008459099,Product Performance
45 - 54,"""doesn't dry out"" (3.58%)",-0.38911854,Product Performance
55 - 65,"""doesn't dry out"" (3.58%)",-1.091223731,Product Performance
16 - 24,"""doesn't irritate"" (6.46%)",1.3768857,Product Performance
25 - 34,"""doesn't irritate"" (6.46%)",0.607348078,Product Performance
35 - 44,"""doesn't irritate"" (6.46%)",-0.227755529,Product Performance
45 - 54,"""doesn't irritate"" (6.46%)",-0.538331251,Product Performance
55 - 65,"""doesn't irritate"" (6.46%)",-1.066309978,Product Performance
16 - 24,"""double cleanse"" (2.60%)",0.948137474,Product Usage
25 - 34,"""double cleanse"" (2.60%)",0.564511014,Product Usage
35 - 44,"""double cleanse"" (2.60%)",-0.670579052,Product Usage
45 - 54,"""double cleanse"" (2.60%)",-0.782859967,Product Usage
55 - 65,"""double cleanse"" (2.60%)",-0.810930196,Product Usage
16 - 24,"""dramatically"" (1.72%)",0.842743086,Product Effects
25 - 34,"""dramatically"" (1.72%)",-0.042144233,Product Effects
35 - 44,"""dramatically"" (1.72%)",0.105336987,Product Effects
45 - 54,"""dramatically"" (1.72%)",-0.360703668,Product Effects
55 - 65,"""dramatically"" (1.72%)",-0.927031553,Product Effects
16 - 24,"""dries"" (21.37%)",1.309478385,Product Effects
25 - 34,"""dries"" (21.37%)",0.787217466,Product Effects
35 - 44,"""dries"" (21.37%)",-0.026782611,Product Effects
45 - 54,"""dries"" (21.37%)",-0.821652252,Product Effects
55 - 65,"""dries"" (21.37%)",-1.219565333,Product Effects
16 - 24,"""dry and sensitive skin"" (4.35%)",0.478498645,Skin Descriptions
25 - 34,"""dry and sensitive skin"" (4.35%)",0.632853046,Skin Descriptions
35 - 44,"""dry and sensitive skin"" (4.35%)",-0.185225282,Skin Descriptions
45 - 54,"""dry and sensitive skin"" (4.35%)",-0.653433633,Skin Descriptions
55 - 65,"""dry and sensitive skin"" (4.35%)",-0.077177201,Skin Descriptions
16 - 24,"""dry spots"" (3.58%)",-0.028128434,Skin Descriptions
25 - 34,"""dry spots"" (3.58%)",0.651642051,Skin Descriptions
35 - 44,"""dry spots"" (3.58%)",-0.154706386,Skin Descriptions
45 - 54,"""dry spots"" (3.58%)",-0.201587109,Skin Descriptions
55 - 65,"""dry spots"" (3.58%)",-0.346917351,Skin Descriptions
16 - 24,"""easy to apply"" (19.90%)",-1.013271173,Product Usage
25 - 34,"""easy to apply"" (19.90%)",-0.521270177,Product Usage
35 - 44,"""easy to apply"" (19.90%)",-0.234153448,Product Usage
45 - 54,"""easy to apply"" (19.90%)",0.649497065,Product Usage
55 - 65,"""easy to apply"" (19.90%)",1.278087573,Product Usage
16 - 24,"""easy to spread"" (8.02%)",0.117058309,Product Usage
25 - 34,"""easy to spread"" (8.02%)",0.520707649,Product Usage
35 - 44,"""easy to spread"" (8.02%)",0.552999597,Product Usage
45 - 54,"""easy to spread"" (8.02%)",-0.633729465,Product Usage
55 - 65,"""easy to spread"" (8.02%)",-0.916284003,Product Usage
16 - 24,"""easy to use"" (20.11%)",-1.227374103,Product Usage
25 - 34,"""easy to use"" (20.11%)",-0.689305456,Product Usage
35 - 44,"""easy to use"" (20.11%)",-0.100317883,Product Usage
45 - 54,"""easy to use"" (20.11%)",0.783543467,Product Usage
55 - 65,"""easy to use"" (20.11%)",1.250173622,Product Usage
16 - 24,"""eczema"" (18.17%)",0.507879884,Skin Descriptions
25 - 34,"""eczema"" (18.17%)",0.467159002,Skin Descriptions
35 - 44,"""eczema"" (18.17%)",0.011311356,Skin Descriptions
45 - 54,"""eczema"" (18.17%)",-0.869843275,Skin Descriptions
55 - 65,"""eczema"" (18.17%)",0.005655678,Skin Descriptions
16 - 24,"""eliminate"" (2.35%)",-0.037061946,Product Effects
25 - 34,"""eliminate"" (2.35%)",0.633253293,Product Effects
35 - 44,"""eliminate"" (2.35%)",-0.491146462,Product Effects
45 - 54,"""eliminate"" (2.35%)",-0.296538812,Product Effects
55 - 65,"""eliminate"" (2.35%)",-0.037061946,Product Effects
16 - 24,"""enjoy"" (11.59%)",0.193258126,Product Reactions
25 - 34,"""enjoy"" (11.59%)",0.195942266,Product Reactions
35 - 44,"""enjoy"" (11.59%)",-0.370411408,Product Reactions
45 - 54,"""enjoy"" (11.59%)",0.276466485,Product Reactions
55 - 65,"""enjoy"" (11.59%)",-0.150311876,Product Reactions
16 - 24,"""environment"" (1.89%)",0.515805719,Social Responsibility
25 - 34,"""environment"" (1.89%)",-0.22939626,Social Responsibility
35 - 44,"""environment"" (1.89%)",0.211427446,Social Responsibility
45 - 54,"""environment"" (1.89%)",0.085477816,Social Responsibility
55 - 65,"""environment"" (1.89%)",-0.869640213,Social Responsibility
16 - 24,"""essential"" (5.35%)",0.126491106,Product Reactions
25 - 34,"""essential"" (5.35%)",0.758946638,Product Reactions
35 - 44,"""essential"" (5.35%)",0.383426166,Product Reactions
45 - 54,"""essential"" (5.35%)",-0.664078309,Product Reactions
55 - 65,"""essential"" (5.35%)",-0.964494686,Product Reactions
16 - 24,"""esthetician"" (1.80%)",0.226778684,Product Recommendation
25 - 34,"""esthetician"" (1.80%)",0.604743157,Product Recommendation
35 - 44,"""esthetician"" (1.80%)",-0.10394023,Product Recommendation
45 - 54,"""esthetician"" (1.80%)",-0.614192269,Product Recommendation
55 - 65,"""esthetician"" (1.80%)",-0.529150262,Product Recommendation
16 - 24,"""excellent"" (30.00%)",-1.251488233,Product Reactions
25 - 34,"""excellent"" (30.00%)",-0.825515414,Product Reactions
35 - 44,"""excellent"" (30.00%)",-0.038787211,Product Reactions
45 - 54,"""excellent"" (30.00%)",0.91887932,Product Reactions
55 - 65,"""excellent"" (30.00%)",1.202060283,Product Reactions
16 - 24,"""excited"" (10.37%)",1.585238843,Product Reactions
25 - 34,"""excited"" (10.37%)",0.518984323,Product Reactions
35 - 44,"""excited"" (10.37%)",-0.304995526,Product Reactions
45 - 54,"""excited"" (10.37%)",-0.720674913,Product Reactions
55 - 65,"""excited"" (10.37%)",-0.780936125,Product Reactions
16 - 24,"""exfoliate"" (10.97%)",1.121678279,Product Effects
25 - 34,"""exfoliate"" (10.97%)",0.762563889,Product Effects
35 - 44,"""exfoliate"" (10.97%)",-0.019950799,Product Effects
45 - 54,"""exfoliate"" (10.97%)",-0.975372417,Product Effects
55 - 65,"""exfoliate"" (10.97%)",-0.7669974,Product Effects
16 - 24,"""extra"" (21.66%)",0.817778724,Brand Loyalty
25 - 34,"""extra"" (21.66%)",0.677485307,Brand Loyalty
35 - 44,"""extra"" (21.66%)",0.402893917,Brand Loyalty
45 - 54,"""extra"" (21.66%)",-0.89811769,Brand Loyalty
55 - 65,"""extra"" (21.66%)",-1.206283573,Brand Loyalty
16 - 24,"""extreme"" (3.11%)",0.810452279,Product Reactions
25 - 34,"""extreme"" (3.11%)",0.124229911,Product Reactions
35 - 44,"""extreme"" (3.11%)",-0.461425385,Product Reactions
45 - 54,"""extreme"" (3.11%)",0.325364053,Product Reactions
55 - 65,"""extreme"" (3.11%)",-0.632980977,Product Reactions
16 - 24,"""facewash"" (3.04%)",-0.070478733,Product Description
25 - 34,"""facewash"" (3.04%)",-0.290085506,Product Description
35 - 44,"""facewash"" (3.04%)",-0.141174064,Product Description
45 - 54,"""facewash"" (3.04%)",0.934297465,Product Description
55 - 65,"""facewash"" (3.04%)",0.116036609,Product Description
16 - 24,"""facial cleanser"" (14.38%)",1.422380034,Product Description
25 - 34,"""facial cleanser"" (14.38%)",0.481899246,Product Description
35 - 44,"""facial cleanser"" (14.38%)",-0.32385702,Product Description
45 - 54,"""facial cleanser"" (14.38%)",-0.367901575,Product Description
55 - 65,"""facial cleanser"" (14.38%)",-1.023388185,Product Description
16 - 24,"""facial cream"" (1.69%)",0.971836749,Product Description
25 - 34,"""facial cream"" (1.69%)",0.681718309,Product Description
35 - 44,"""facial cream"" (1.69%)",-0.373712567,Product Description
45 - 54,"""facial cream"" (1.69%)",-0.708849385,Product Description
55 - 65,"""facial cream"" (1.69%)",-0.928939236,Product Description
16 - 24,"""facial lotion"" (2.14%)",0.789332856,Product Description
25 - 34,"""facial lotion"" (2.14%)",-0.155047525,Product Description
35 - 44,"""facial lotion"" (2.14%)",0.119809451,Product Description
45 - 54,"""facial lotion"" (2.14%)",-0.169142755,Product Description
55 - 65,"""facial lotion"" (2.14%)",-0.817523315,Product Description
16 - 24,"""facial moisturizer"" (6.39%)",1.012703403,Product Description
25 - 34,"""facial moisturizer"" (6.39%)",0.50901671,Product Description
35 - 44,"""facial moisturizer"" (6.39%)",-0.163898051,Product Description
